species,name,breed,date_of_birth,age_in_months,weight_kg,temperature,heart_rate,respiratory_rate,blood_pressure_systolic,blood_pressure_diastolic,body_condition_score,hydration_status,mucous_membrane_color,coat_condition,appetite,energy_level,aggression,vomiting,diarrhea,coughing,limping,vaccinations,diagnosis_text,treatment_text,allergies,chronic_conditions,prescriptions,health_status
Cat,Shadow,Maine Coon,2016-08-12,111,7.5,38.4,186,23,167,94,4,normal,pink,healthy,decreased,normal,none,False,False,False,False,[],General check-up. The cat is healthy.,No specific treatment required.,"['Flea Bite', 'Pollen']",[],[],Healthy
Cat,Smokey,Other,2015-01-22,130,4.5,38.6,149,26,137,91,5,normal,pink,healthy,normal,normal,mild,False,False,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2024-03-04', 'status': 'overdue'}, {'vaccine_name': 'FeLV', 'administered_date': '2025-01-05', 'status': 'up_to_date'}, {'vaccine_name': 'Rabies', 'administered_date': '2024-05-22', 'status': 'up_to_date'}]",General check-up. The cat is healthy.,No specific treatment required.,[],"['Feline Hyperthyroidism', 'Dental Disease']",[],Healthy
Cat,Max,Bengal,2021-12-29,46,5.1,38.9,160,25,134,95,6,normal,pink,healthy,normal,normal,mild,False,False,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2024-06-11', 'status': 'up_to_date'}, {'vaccine_name': 'FeLV', 'administered_date': '2024-01-07', 'status': 'up_to_date'}]",General check-up. The cat is healthy.,No specific treatment required.,[],[],[],Healthy
Cat,Luna,Sphynx,2018-11-13,84,5.2,38.8,203,24,134,100,6,mild_dehydration,pink,dull,normal,normal,none,True,False,False,False,"[{'vaccine_name': 'FeLV', 'administered_date': '2024-05-04', 'status': 'overdue'}, {'vaccine_name': 'Rabies', 'administered_date': '2024-06-01', 'status': 'up_to_date'}]",General check-up. The cat is healthy.,No specific treatment required.,['Pollen'],"['Dental Disease', 'Chronic Kidney Disease']",[],Healthy
Cat,Nala,Scottish Fold,2012-08-27,158,7.7,38.5,154,25,169,94,5,mild_dehydration,pink,healthy,normal,normal,none,False,False,False,False,"[{'vaccine_name': 'Rabies', 'administered_date': '2025-09-03', 'status': 'overdue'}, {'vaccine_name': 'FVRCP', 'administered_date': '2024-05-31', 'status': 'overdue'}, {'vaccine_name': 'FeLV', 'administered_date': '2024-10-10', 'status': 'overdue'}]",General check-up. The cat is healthy.,No specific treatment required.,[],"['Feline Hyperthyroidism', 'Chronic Kidney Disease']",[],Healthy
Cat,Tiger,Other,2021-07-31,51,6.5,38.6,227,23,137,109,5,mild_dehydration,pink,healthy,normal,normal,none,True,False,False,False,"[{'vaccine_name': 'Rabies', 'administered_date': '2024-09-24', 'status': 'up_to_date'}, {'vaccine_name': 'FeLV', 'administered_date': '2024-11-26', 'status': 'overdue'}, {'vaccine_name': 'FVRCP', 'administered_date': '2024-10-09', 'status': 'up_to_date'}]",General check-up. The cat is healthy.,No specific treatment required.,[],"['Dental Disease', 'Chronic Kidney Disease']",['Prednisolone'],Healthy
Cat,Kitty,Siamese,2014-04-17,139,7.6,38.3,198,23,171,76,5,normal,pink,healthy,decreased,normal,none,True,True,False,False,"[{'vaccine_name': 'FVRCP', 'administered_date': '2025-01-23', 'status': 'up_to_date'}]",General check-up. The cat is healthy.,No specific treatment required.,['Flea Bite'],[],[],Healthy
Cat,Luna,Bengal,2015-05-05,126,4.1,39.1,149,23,131,90,5,normal,pink,healthy,normal,normal,none,False,False,False,False,[],General check-up. The cat is healthy.,No specific treatment required.,[],"['Dental Disease', 'Feline Hyperthyroidism']",[],Healthy
Cat,Kitty,Bengal,2011-10-10,169,6.3,38.4,186,26,128,92,6,normal,pink,healthy,normal,hyperactive,none,False,False,False,False,"[{'vaccine_name': 'FeLV', 'administered_date': '2025-01-06', 'status': 'up_to_date'}, {'vaccine_name': 'FVRCP', 'administered_date': '2024-05-05', 'status': 'overdue'}, {'vaccine_name': 'Rabies', 'administered_date': '2025-09-11', 'status': 'overdue'}]",General check-up. The cat is healthy.,No specific treatment required.,[],[],[],Healthy
Cat,Lucy,Scottish Fold,2021-03-12,56,5.5,38.1,146,27,151,85,5,mild_dehydration,pink,healthy,decreased,normal,none,False,False,False,False,"[{'vaccine_name': 'FeLV', 'administered_date': '2024-01-08', 'status': 'overdue'}, {'vaccine_name': 'FVRCP', 'administered_date': '2024-03-07', 'status': 'up_to_date'}]",General check-up. The cat is healthy.,No specific treatment required.,['Fish Protein'],"['Dental Disease', 'Feline Hyperthyroidism']",[],Healthy
